"","Order","PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice","has.alley","Has.Basement","Has.Fireplace","Has.Garage","Has.Pool","Has.Wood.Deck","Has.Open.Porch","Has.X3Ssn.Porch","Has.Screen.Porch"
"1268",1268,535451050,"20","RL",60,7200,"Pave",0,"Lvl","Inside",0,"NAmes","norm","norm","1Fam","1Story",5,7,1951,1951,"Gable","CompShg","other","MetalSd","None",0,2,"TA","CBlock",2,3,1,"LwQ",432,"Unf",0,444,876,"GasA",2,"Y","SBrkr",876,0,0,876,0,0,1,0,2,1,2,5,"Typ",1,3,"Detchd",1972,1,2,576,3,"TA","Paved",0,0,0,2,2008,"WD ","Abnorml",94000,"0",1,0,0,0,0,0,0,0
"1974",1974,902100010,"30","other",60,6978,"Pave",0,"Bnk","Inside",0,"OldTown","other","norm","1Fam","1Story",5,7,1926,1980,"Gable","CompShg","other","MetalSd","None",0,3,"Gd","BrkTil",3,3,1,"Unf",0,"Unf",0,850,850,"GasA",2,"Y","SBrkr",960,0,0,960,0,0,1,0,2,1,2,5,"Typ",0,0,"Detchd",1981,2,2,576,3,"TA","Paved",0,0,0,4,2007,"WD ","Normal",103000,"0",1,1,0,0,0,0,0,0
"2395",2395,528142070,"60","RL",82,11643,"Pave",1,"Lvl","Inside",0,"NridgHt","norm","norm","1Fam","2Story",8,5,2005,2006,"Hip","CompShg","other","MetalSd","BrkFace",142,3,"TA","PConc",5,3,3,"GLQ",880,"Unf",0,644,1524,"GasA",4,"Y","SBrkr",1544,814,0,2358,1,0,2,1,4,1,4,10,"Typ",1,4,"BuiltIn",2005,3,3,784,3,"TA","Paved",0,0,0,8,2006,"New","Partial",329900,"0",1,0,0,0,1,1,0,0
"1805",1805,528482030,"60","FV",85,10625,"Pave",0,"Lvl","Inside",0,"Somerst","norm","norm","1Fam","2Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",353,3,"TA","PConc",4,3,3,"Unf",0,"Unf",0,1158,1158,"GasA",4,"Y","SBrkr",1158,1285,0,2443,0,0,2,1,4,1,3,9,"BelowTyp",1,4,"BuiltIn",2004,2,3,744,3,"TA","Paved",0,0,0,6,2007,"WD ","Normal",265000,"0",1,0,0,0,1,1,0,0
"285",285,908275300,"20","RL",68,8562,"Pave",0,"Lvl","Inside",1,"Edwards","norm","norm","1Fam","1Story",5,6,1957,2002,"Hip","CompShg","HdBoard","HdBoard","other",145,2,"TA","CBlock",3,3,3,"Rec",383,"Unf",0,833,1216,"GasA",4,"Y","other",1526,0,0,1526,0,0,1,0,4,1,2,7,"BelowTyp",1,4,"Basment",1957,1,1,364,3,"TA","Paved",0,0,0,5,2010,"WD ","Normal",144500,"0",1,0,0,0,1,1,0,0
"2068",2068,905226080,"50","RL",70,6960,"Pave",0,"Lvl","Inside",0,"Sawyer","norm","norm","1Fam","1.5Fin",7,8,1940,1998,"Gable","CompShg","other","Wd Sdng","None",0,2,"TA","BrkTil",3,3,1,"ALQ",258,"Unf",0,422,680,"GasA",4,"Y","other",798,504,0,1302,0,0,1,1,2,1,3,6,"Typ",2,4,"Attchd",1940,1,1,224,3,"TA","Paved",NA,0,0,7,2007,"WD ","Normal",165250,"0",1,0,0,0,0,0,0,1
"1032",1032,527378020,"20","RL",80,10000,"Pave",0,"Lvl","Inside",0,"NWAmes","norm","norm","1Fam","1Story",5,6,1973,2000,"Gable","CompShg","HdBoard","HdBoard","None",0,2,"TA","CBlock",4,3,1,"BLQ",1084,"Unf",0,92,1176,"GasA",3,"Y","SBrkr",1178,0,0,1178,0,1,1,1,3,1,3,5,"Typ",1,2,"Attchd",1973,1,2,439,3,"TA","Paved",NA,0,0,11,2008,"WD ","Normal",157000,"0",1,0,0,0,1,0,0,0
"2301",2301,923275010,"20","RL",68,11000,"Pave",2,"Lvl","other",0,"Mitchel","norm","norm","1Fam","1Story",5,6,1976,2003,"Gable","CompShg","Plywood","Plywood","None",0,2,"TA","PConc",4,3,1,"LwQ",1090,"Unf",0,0,1090,"GasA",2,"Y","SBrkr",1178,0,0,1178,1,0,1,1,3,1,2,6,"Typ",0,0,"Attchd",1976,1,2,502,3,"TA","Paved",NA,0,0,6,2007,"WD ","Normal",135000,"0",1,1,0,0,0,1,0,1
"2912",2912,923225510,"20","RL",58,10172,"Pave",1,"Lvl","Inside",0,"Mitchel","norm","norm","1Fam","1Story",5,7,1968,2003,"Gable","CompShg","Plywood","Plywood","None",0,2,"TA","CBlock",3,3,1,"ALQ",441,"Unf",0,423,864,"GasA",4,"Y","SBrkr",874,0,0,874,1,0,1,0,3,1,2,5,"Typ",0,0,"Attchd",1968,2,1,288,3,"TA","Paved",0,0,0,10,2006,"WD ","Normal",126500,"0",1,1,0,0,0,1,0,0
"1313",1313,902304060,"190","other",60,9600,"Pave",0,"Lvl","Inside",0,"OldTown","norm","norm","2fmCon","2Story",5,5,1920,1960,"Gable","CompShg","other","other","None",0,2,"TA","BrkTil",3,3,1,"Rec",234,"Unf",0,739,973,"GasA",2,"Y","other",1377,973,0,2350,0,0,2,0,4,2,2,10,"Typ",0,0,"2Types",1930,1,2,393,3,"TA","Paved",0,0,0,4,2008,"WD ","Normal",130000,"1",1,1,0,0,0,0,0,0
"1537",1537,909281110,"70","RL",100,9670,"Pave",1,"HLS","Inside",1,"Crawfor","norm","norm","1Fam","2Story",8,6,1935,1950,"Gable","CompShg","other","other","other",40,2,"TA","PConc",3,2,1,"LwQ",210,"Unf",0,398,608,"GasA",2,"Y","SBrkr",983,890,0,1873,0,0,1,1,4,1,2,9,"Typ",2,4,"Detchd",1935,3,2,786,2,"TA","Paved",0,0,0,6,2008,"WD ","Alloca",257076,"0",1,0,0,0,0,0,0,0
"1759",1759,528290170,"60","RL",58,9487,"Pave",1,"Lvl","Inside",0,"Gilbert","norm","norm","1Fam","2Story",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"TA","PConc",4,3,1,"GLQ",520,"Unf",0,395,915,"GasA",4,"Y","SBrkr",940,750,0,1690,1,0,2,1,3,1,2,7,"Typ",1,3,"Attchd",2000,2,2,442,3,"TA","Paved",0,0,0,6,2007,"WD ","Normal",187000,"0",1,0,0,0,0,1,0,0
"95",95,533208090,"160","FV",39,3515,"Pave",0,"Lvl","Inside",0,"Somerst","norm","norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,840,840,"GasA",4,"Y","SBrkr",840,840,0,1680,0,0,2,1,2,1,3,3,"Typ",0,0,"Attchd",2004,2,2,588,3,"TA","Paved",0,0,0,1,2010,"WD ","Normal",190000,"1",1,1,0,0,0,1,0,0
"2617",2617,535425050,"20","RL",86,11650,"Pave",0,"Lvl","other",0,"NAmes","other","norm","1Fam","1Story",7,5,1959,1959,"Hip","CompShg","Plywood","Plywood","other",58,2,"TA","other",0,0,0,"No Basement",0,"other",0,0,0,"GasA",3,"Y","other",1472,0,0,1472,0,0,2,0,2,1,3,5,"Typ",1,4,"Attchd",1959,1,2,484,3,"TA","Paved",0,0,0,6,2006,"WD ","Normal",157500,"0",0,0,0,0,0,1,0,1
"2362",2362,527403120,"20","RL",68,8125,"Pave",1,"Lvl","other",0,"NAmes","norm","norm","1Fam","1Story",4,4,1971,1971,"Gable","CompShg","HdBoard","HdBoard","None",0,2,"TA","CBlock",3,3,1,"BLQ",614,"Unf",0,244,858,"GasA",2,"Y","SBrkr",858,0,0,858,0,0,1,0,3,1,2,5,"Typ",0,0,"No Garage",1979,0,0,0,0,"No Garage","Paved",0,0,0,6,2006,"WD ","Normal",88000,"0",1,1,1,0,0,0,0,0
"2000",2000,902401030,"40","other",40,5400,"Pave",0,"Lvl","other",0,"OldTown","norm","norm","1Fam","1Story",6,7,1926,2004,"Gable","CompShg","other","MetalSd","None",0,2,"Gd","BrkTil",3,3,2,"LwQ",370,"Unf",0,779,1149,"GasA",3,"Y","other",1149,467,0,1616,0,0,2,0,3,1,3,5,"Typ",0,0,"Detchd",1926,1,1,216,3,"TA","Paved",0,0,0,10,2007,"WD ","Normal",152000,"1",1,1,0,0,0,0,0,0
"559",559,532376070,"20","RL",68,9316,"Pave",1,"Lvl","Inside",0,"Sawyer","norm","norm","1Fam","1Story",5,5,1965,1965,"Gable","CompShg","HdBoard","Plywood","None",0,2,"TA","CBlock",3,3,1,"Rec",544,"Unf",0,480,1024,"GasA",3,"Y","SBrkr",1020,0,0,1020,0,0,2,0,3,1,2,5,"Typ",0,0,"Attchd",1965,1,1,288,3,"TA","Paved",NA,0,0,5,2009,"other","Family",124100,"0",1,1,0,0,1,0,0,0
"1550",1550,910203090,"50","other",58,8155,"Pave",0,"Lvl","Inside",0,"IDOTRR","norm","norm","1Fam","1.5Fin",5,7,1930,1950,"Gable","CompShg","other","Wd Sdng","None",0,2,"TA","CBlock",4,3,1,"Unf",0,"Unf",0,780,780,"GasA",3,"Y","other",780,420,0,1200,0,0,1,0,4,1,2,7,"Typ",0,0,"No Garage",1979,0,0,0,0,"No Garage","Paved",0,0,0,7,2008,"WD ","Normal",119000,"0",1,1,1,0,0,0,0,0
"2893",2893,916252170,"120","other",68,8239,"Pave",1,"Lvl","Inside",0,"GrnHill","norm","norm","TwnhsE","1Story",7,5,1986,1986,"Gable","CompShg","other","Wd Sdng","None",0,3,"TA","CBlock",0,0,0,"No Basement",0,"other",0,0,0,"GasA",3,"Y","SBrkr",1295,0,0,1295,0,0,2,0,2,1,3,5,"Typ",0,0,"Attchd",1986,2,1,312,3,"TA","Paved",0,0,0,11,2006,"WD ","Normal",230000,"0",0,1,0,0,0,0,0,0
"2671",2671,903200050,"30","RL",68,7446,"Pave",0,"Lvl","other",0,"BrkSide","other","norm","1Fam","1Story",4,5,1941,1950,"Gable","CompShg","other","other","None",0,2,"TA","CBlock",3,3,1,"Rec",266,"Unf",0,522,788,"GasA",2,"Y","other",788,0,0,788,0,0,1,0,2,1,2,4,"Typ",2,3,"No Garage",1979,0,0,0,0,"No Garage","Paved",2,0,0,4,2006,"WD ","Abnorml",100000,"0",1,0,1,0,0,0,0,0
"2865",2865,909281010,"70","RL",80,16560,"Pave",1,"Lvl","Inside",0,"Crawfor","norm","norm","1Fam","2Story",6,8,1932,1950,"Gable","CompShg","other","Wd Sdng","None",0,2,"TA","BrkTil",4,3,1,"Rec",503,"Unf",0,449,952,"GasA",2,"Y","SBrkr",1170,1175,0,2345,0,0,2,1,4,1,2,9,"Typ",1,4,"Detchd",1932,1,2,360,3,"TA","Paved",0,0,0,7,2006,"WD ","Normal",239000,"0",1,0,0,0,0,0,0,0
"383",383,527359180,"60","RL",68,10304,"Pave",1,"Lvl","other",0,"NWAmes","other","norm","1Fam","2Story",5,7,1976,1976,"Gable","CompShg","Plywood","Plywood","BrkFace",44,2,"Gd","CBlock",3,3,1,"ALQ",381,"Unf",0,399,780,"GasA",4,"Y","SBrkr",1088,780,0,1868,1,0,2,1,4,1,3,9,"Typ",1,3,"Attchd",1976,1,2,484,3,"TA","Paved",0,0,0,10,2009,"WD ","Normal",197500,"0",1,0,0,0,1,1,0,0
"2785",2785,907202140,"20","RL",69,9920,"Pave",1,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","1Story",5,6,1969,1969,"Gable","CompShg","HdBoard","Plywood","None",0,2,"TA","CBlock",4,3,4,"ALQ",523,"Unf",0,448,971,"GasA",2,"Y","SBrkr",971,0,0,971,0,0,1,1,3,1,2,5,"Typ",1,1,"Attchd",1969,1,1,300,3,"TA","Paved",0,0,0,5,2006,"WD ","Normal",128500,"0",1,0,0,0,0,0,0,0
"2291",2291,923228390,"160","other",21,1890,"Pave",0,"Lvl","Inside",0,"MeadowV","norm","norm","Twnhs","2Story",4,3,1976,1976,"Gable","CompShg","other","CmentBd","None",0,2,"TA","CBlock",3,3,1,"Unf",0,"Unf",0,546,546,"GasA",4,"Y","SBrkr",546,546,0,1092,0,0,1,1,3,1,2,6,"Typ",0,0,"Attchd",1976,1,1,286,3,"TA","Paved",2,0,0,4,2007,"other","Normal",75190,"0",1,1,0,0,0,0,0,0
"281",281,908203100,"20","RL",64,6410,"Pave",0,"HLS","Inside",0,"Edwards","norm","norm","1Fam","1Story",4,5,1958,1958,"Hip","CompShg","other","other","None",0,2,"TA","CBlock",3,3,1,"Unf",0,"Unf",0,960,960,"GasA",4,"Y","SBrkr",960,0,0,960,0,0,1,0,3,1,2,5,"Typ",0,0,"No Garage",1979,0,0,0,0,"No Garage","Paved",NA,0,0,5,2010,"WD ","Normal",90000,"0",1,1,1,0,0,0,0,0
"2480",2480,531451290,"60","RL",70,9370,"Pave",2,"Lvl","Inside",0,"SawyerW","norm","norm","1Fam","2Story",6,5,1992,1993,"Gable","CompShg","HdBoard","HdBoard","None",0,3,"TA","PConc",4,3,1,"ALQ",758,"Unf",0,78,836,"GasA",4,"Y","SBrkr",844,887,0,1731,1,0,2,1,3,1,3,7,"Typ",0,0,"Attchd",1992,2,2,462,3,"TA","Paved",0,1,3000,10,2006,"WD ","Family",248500,"0",1,1,0,0,1,1,0,1
"190",190,902402250,"190","other",60,11340,"Pave",0,"Lvl","Inside",0,"OldTown","norm","norm","2fmCon","2Story",4,6,1885,1950,"Gable","CompShg","VinylSd","other","None",0,2,"TA","PConc",3,3,1,"Unf",0,"Unf",0,777,777,"GasA",3,"Y","SBrkr",1246,1044,0,2290,0,0,2,0,4,2,2,11,"Typ",0,0,"Detchd",1971,1,2,560,3,"TA","Unpaved",0,0,0,4,2010,"WD ","Normal",122500,"0",1,1,0,0,0,0,0,0
"390",390,527375210,"20","RL",85,11050,"Pave",1,"Lvl","other",0,"NWAmes","norm","norm","1Fam","1Story",7,5,1975,1975,"Gable","CompShg","Plywood","Plywood","None",0,2,"TA","CBlock",3,3,1,"ALQ",636,"Unf",0,540,1176,"GasA",1,"Y","SBrkr",1193,0,0,1193,0,0,2,0,3,1,2,5,"Typ",1,3,"Attchd",1975,1,2,506,3,"TA","Paved",0,0,0,8,2009,"WD ","Normal",158000,"0",1,0,0,0,1,0,0,0
"854",854,907201220,"20","RL",68,16269,"Pave",1,"Lvl","other",0,"CollgCr","norm","norm","1Fam","1Story",5,5,1978,1978,"Gable","CompShg","other","MetalSd","BrkFace",76,2,"TA","BrkTil",4,3,3,"GLQ",625,"Unf",0,282,907,"GasA",2,"Y","SBrkr",907,0,0,907,0,0,1,0,3,1,2,5,"Typ",0,0,"Attchd",1978,1,1,343,3,"TA","Paved",NA,0,0,7,2009,"WD ","Normal",140000,"0",1,1,0,0,1,0,0,0
"2670",2670,902456015,"50","other",63,4761,"Pave",0,"Lvl","other",0,"IDOTRR","norm","norm","1Fam","1.5Unf",3,3,1918,1950,"Gable","CompShg","other","Wd Sdng","None",0,1,"Fa","BrkTil",3,2,1,"Unf",0,"Unf",0,1020,1020,"GasA",1,"N","other",1020,0,0,1020,0,0,1,0,2,1,1,5,"Typ",0,0,"No Garage",1979,0,0,0,0,"No Garage","Unpaved",0,0,0,10,2006,"other","Normal",64500,"0",1,1,1,0,0,0,0,0
"1972",1972,535477180,"20","RL",60,6600,"Pave",0,"Lvl","Inside",0,"NAmes","other","norm","1Fam","1Story",5,5,1962,1962,"Hip","CompShg","other","Wd Sdng","None",0,2,"TA","CBlock",3,3,1,"ALQ",110,"other",442,312,864,"GasA",3,"Y","SBrkr",864,0,0,864,0,0,1,0,2,1,2,5,"Typ",0,0,"Detchd",1962,1,1,294,3,"TA","Paved",0,0,0,12,2007,"WD ","Normal",125500,"0",1,1,0,0,1,0,0,0
"167",167,535457090,"20","RL",81,7635,"Pave",1,"Lvl","other",0,"NAmes","norm","norm","1Fam","1Story",5,6,1960,1960,"Gable","CompShg","other","Wd Sdng","None",0,2,"TA","CBlock",3,3,1,"Rec",588,"other",350,237,1175,"GasA",4,"Y","SBrkr",1175,0,0,1175,0,0,1,1,3,1,2,6,"Typ",0,0,"Detchd",1960,2,2,484,3,"TA","Paved",0,0,0,6,2010,"WD ","Normal",148000,"0",1,1,0,0,0,0,0,0
"2042",2042,903475060,"190","other",60,10120,"Pave",1,"Bnk","Inside",0,"OldTown","other","norm","2fmCon","2.5Unf",7,4,1910,1950,"Hip","CompShg","other","Wd Sdng","None",0,1,"TA","CBlock",3,3,1,"Unf",0,"Unf",0,925,925,"GasA",2,"N","other",964,925,0,1889,0,0,1,1,4,2,2,9,"Typ",1,4,"Detchd",1960,1,1,308,3,"TA","Unpaved",NA,0,0,1,2007,"WD ","Normal",122000,"0",1,0,0,0,0,0,0,0
"674",674,535425070,"20","RL",68,17600,"Pave",1,"Lvl","Inside",0,"NAmes","norm","norm","1Fam","1Story",6,5,1960,1960,"Gable","CompShg","other","Wd Sdng","BrkFace",30,2,"TA","CBlock",3,3,1,"BLQ",1270,"Unf",0,208,1478,"GasA",4,"Y","other",1478,0,0,1478,1,0,2,0,3,1,2,6,"Typ",2,4,"Attchd",1960,1,2,498,3,"TA","Paved",0,0,0,12,2009,"WD ","Normal",157500,"0",1,0,0,0,0,1,0,0
"458",458,528178010,"20","RL",117,15262,"Pave",1,"Lvl","other",0,"NridgHt","norm","norm","1Fam","1Story",8,5,2003,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",470,3,"TA","PConc",5,3,4,"GLQ",1557,"Unf",0,643,2200,"GasA",4,"Y","SBrkr",2200,0,0,2200,1,0,2,1,3,1,4,8,"Typ",1,4,"Attchd",2003,3,3,685,3,"TA","Paved",0,0,0,7,2009,"WD ","Normal",382500,"0",1,0,0,0,1,1,0,0
"1706",1706,528144050,"60","RL",86,10562,"Pave",0,"Lvl","Inside",0,"NridgHt","norm","norm","1Fam","2Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","other",300,3,"TA","PConc",5,3,1,"GLQ",1288,"Unf",0,294,1582,"GasA",4,"Y","SBrkr",1610,551,0,2161,1,0,1,1,3,1,4,8,"Typ",1,4,"Attchd",2007,3,3,789,3,"TA","Paved",0,0,0,11,2007,"New","Partial",325624,"0",1,0,0,0,1,1,0,0
"1276",1276,535455080,"45","RL",59,7227,"Pave",0,"HLS","other",1,"NAmes","other","norm","1Fam","1.5Unf",6,6,1954,1954,"Gable","CompShg","other","MetalSd","None",0,2,"TA","CBlock",3,3,1,"Unf",0,"Unf",0,832,832,"GasA",3,"Y","SBrkr",832,0,0,832,0,0,1,0,2,1,3,4,"Typ",0,0,"Detchd",1962,1,2,528,3,"TA","Paved",0,0,0,6,2008,"WD ","Normal",105500,"0",1,1,0,0,0,0,0,0
"2142",2142,907203110,"20","RL",120,10356,"Pave",0,"Lvl","other",0,"CollgCr","norm","norm","1Fam","1Story",5,6,1975,1975,"Gable","CompShg","HdBoard","HdBoard","None",0,2,"TA","CBlock",3,3,3,"BLQ",716,"Unf",0,253,969,"GasA",2,"Y","SBrkr",969,0,0,969,0,0,1,1,3,1,2,5,"Typ",0,0,"Attchd",1975,1,2,440,3,"TA","Paved",NA,0,0,1,2007,"WD ","Normal",122000,"0",1,1,0,0,0,0,0,0
"1643",1643,527256040,"20","RL",81,13870,"Pave",1,"HLS","Inside",0,"StoneBr","other","other","1Fam","1Story",10,5,2006,2007,"Hip","CompShg","other","CmentBd","BrkFace",250,4,"TA","PConc",5,3,4,"GLQ",1152,"Unf",0,590,1742,"GasA",4,"Y","SBrkr",2042,0,0,2042,1,0,2,0,3,1,4,8,"Typ",1,4,"Attchd",2007,3,3,724,3,"TA","Paved",0,0,0,10,2007,"New","Partial",455000,"0",1,0,0,0,1,1,0,1
"2691",2691,903451050,"50","other",60,10320,"Pave",0,"Lvl","Inside",0,"IDOTRR","norm","norm","1Fam","1.5Fin",4,5,1924,1950,"Gable","CompShg","other","MetalSd","None",0,2,"TA","BrkTil",3,2,1,"Unf",0,"Unf",0,596,596,"GasA",0,"Y","other",834,596,0,1430,0,0,2,0,3,1,1,7,"Typ",0,0,"Detchd",1924,1,2,370,2,"Fa","Paved",0,0,0,10,2006,"WD ","Abnorml",107000,"1",1,1,0,0,1,0,0,1
"802",802,906201130,"50","RL",79,12327,"Pave",1,"Low","Inside",1,"SawyerW","norm","norm","1Fam","1.5Fin",8,8,1983,2009,"Gable","CompShg","other","Wd Sdng","None",0,3,"TA","CBlock",4,3,4,"GLQ",1441,"Unf",0,55,1496,"GasA",4,"Y","SBrkr",1496,636,0,2132,1,0,1,1,1,1,3,5,"BelowTyp",1,4,"BuiltIn",1983,3,2,612,4,"TA","Paved",0,0,0,9,2009,"WD ","Normal",316600,"0",1,0,0,0,1,1,0,0
"477",477,528235200,"80","RL",59,9434,"Pave",1,"Lvl","Inside",0,"Gilbert","norm","norm","1Fam","SLvl",7,5,2004,2005,"Gable","CompShg","other","other","None",0,3,"TA","PConc",4,3,2,"Unf",0,"Unf",0,384,384,"GasA",4,"Y","SBrkr",744,630,0,1374,0,0,2,1,3,1,3,6,"Typ",1,4,"BuiltIn",2004,3,2,400,3,"TA","Paved",0,0,0,8,2009,"WD ","Normal",170000,"0",1,0,0,0,1,0,0,0
"1450",1450,907202240,"20","RL",40,14330,"Pave",1,"Lvl","other",0,"CollgCr","norm","norm","1Fam","1Story",5,6,1975,2001,"Gable","CompShg","Plywood","Wd Sdng","None",0,2,"TA","CBlock",3,3,1,"Rec",88,"other",596,180,864,"GasA",2,"Y","SBrkr",1558,0,0,1558,1,0,2,0,2,1,2,5,"BelowTyp",0,0,"Attchd",1975,3,2,440,3,"TA","Paved",0,0,0,8,2008,"WD ","Normal",163000,"0",1,1,0,0,1,0,0,1
"1060",1060,528118090,"60","RL",96,12539,"Pave",0,"Lvl","Inside",0,"NridgHt","other","norm","1Fam","2Story",10,5,2005,2006,"Hip","CompShg","other","CmentBd","BrkFace",468,4,"TA","PConc",5,3,4,"GLQ",1082,"Unf",0,538,1620,"GasA",4,"Y","SBrkr",1632,1158,0,2790,1,0,2,1,4,1,4,10,"Typ",1,5,"BuiltIn",2005,3,4,1150,3,"TA","Paved",0,0,0,6,2008,"WD ","Normal",460000,"0",1,0,0,0,1,1,0,1
"876",876,907290070,"20","RL",70,9100,"Pave",0,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","1Story",7,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,1212,1212,"GasA",4,"Y","SBrkr",1212,0,0,1212,0,0,2,0,3,1,3,6,"Typ",0,0,"Attchd",2001,2,2,573,3,"TA","Paved",0,0,0,6,2009,"WD ","Normal",178000,"0",1,1,0,0,1,0,0,0
"1818",1818,531477040,"90","other",60,8400,"Pave",0,"Lvl","Inside",0,"SawyerW","other","norm","Duplex","1Story",5,5,1977,1977,"Gable","CompShg","Plywood","Plywood","BrkFace",320,2,"TA","other",0,0,0,"No Basement",0,"other",0,0,0,"GasA",2,"Y","SBrkr",2020,0,0,2020,0,0,2,0,4,2,2,10,"Typ",2,3,"Detchd",1977,1,2,630,3,"TA","Paved",0,0,0,10,2007,"WD ","Normal",144000,"0",0,0,0,0,0,0,0,0
"896",896,908225290,"20","RL",70,11767,"Pave",0,"Lvl","Inside",0,"Edwards","norm","norm","1Fam","1Story",5,5,1950,1950,"Gable","CompShg","other","MetalSd","None",0,2,"TA","CBlock",2,3,2,"Rec",1078,"Unf",0,0,1078,"GasA",2,"Y","other",1368,0,0,1368,1,0,1,0,3,1,2,6,"BelowTyp",0,0,"Attchd",1950,2,1,195,3,"TA","Paved",0,1,900,6,2009,"WD ","Normal",120000,"0",1,1,0,0,0,1,0,0
"7",7,527127150,"120","RL",41,4920,"Pave",0,"Lvl","Inside",0,"StoneBr","norm","norm","TwnhsE","1Story",8,5,2001,2001,"Gable","CompShg","other","CmentBd","None",0,3,"TA","PConc",4,3,2,"GLQ",616,"Unf",0,722,1338,"GasA",4,"Y","SBrkr",1338,0,0,1338,1,0,2,0,2,1,3,6,"Typ",0,0,"Attchd",2001,3,2,582,3,"TA","Paved",0,0,0,4,2010,"WD ","Normal",213500,"0",1,1,0,0,0,0,0,0
"2196",2196,909176170,"90","RL",60,10890,"Pave",0,"Lvl","Inside",0,"SWISU","norm","norm","Duplex","2Story",5,6,1923,1950,"Hip","CompShg","other","Plywood","None",0,2,"TA","PConc",3,3,2,"Rec",371,"Unf",0,925,1296,"other",1,"N","other",1296,1296,0,2592,2,0,2,0,6,2,2,12,"BelowTyp",0,0,"No Garage",1979,0,0,0,0,"No Garage","Paved",0,1,1512,1,2007,"WD ","AdjLand",150000,"0",1,1,1,0,0,1,0,0
"1513",1513,909100150,"30","RL",67,5142,"Pave",0,"Lvl","Inside",0,"Edwards","norm","norm","1Fam","1.5Fin",4,7,1923,2008,"Gable","CompShg","other","Wd Sdng","None",0,2,"TA","PConc",3,3,1,"ALQ",224,"Unf",0,725,949,"GasA",2,"Y","SBrkr",949,343,0,1292,0,0,1,1,3,1,3,6,"Typ",0,0,"Detchd",1923,1,1,205,3,"TA","Unpaved",0,0,0,6,2008,"WD ","Normal",108000,"0",1,1,0,0,0,0,0,0
"881",881,907412020,"60","RL",65,9313,"Pave",1,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,864,864,"GasA",4,"Y","SBrkr",864,864,0,1728,0,0,2,1,3,1,3,7,"Typ",0,0,"Attchd",2004,2,2,572,3,"TA","Paved",0,0,0,4,2009,"WD ","Normal",190000,"0",1,1,0,0,1,1,0,0
"869",869,907265010,"60","RL",68,11250,"Pave",0,"Lvl","other",0,"CollgCr","norm","norm","1Fam","2Story",7,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,944,944,"GasA",4,"Y","SBrkr",944,926,0,1870,0,0,2,1,3,1,3,6,"Typ",0,0,"Attchd",2001,2,2,608,3,"TA","Paved",0,0,0,5,2009,"WD ","Normal",211000,"0",1,1,0,0,1,1,0,0
"2553",2553,534430110,"20","RL",68,11425,"Pave",1,"Lvl","other",0,"NAmes","norm","norm","1Fam","1Story",5,6,1954,1954,"Gable","CompShg","other","other","None",0,2,"TA","CBlock",3,3,1,"BLQ",486,"Unf",0,522,1008,"GasA",3,"Y","SBrkr",1008,0,0,1008,0,0,1,0,2,1,2,4,"Typ",1,4,"Attchd",1954,2,1,275,3,"TA","Paved",0,0,0,7,2006,"WD ","Normal",137000,"0",1,0,0,0,0,0,0,0
